HostCorrectedName,Group,HostFamily,Longitude,Latitude,PopulationType,country,continent,Threat,ThreatDic,ThreatDic2,ThreatDis,hostName,hostHomeRange,massKG,groupSizePriUng,groupSizeCar
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,28.31,-15.41,WN,Zambia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,28.86,-22.07,WN,Botswana,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,37.91,-0.02,WN,Kenya,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,35.14,-1.49,WN,Kenya,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,35.14,-1.49,WN,Kenya,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,35.14,-1.49,WN,Kenya,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,35.14,-1.49,WN,Kenya,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,35.14,-1.49,WN,Kenya,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,34.78,-2.33,WN,United Republic of Tanzania,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,22.94,-30.56,WN,South Africa,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,34.83,-2.33,WN,United Republic of Tanzania,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,24.68,-22.33,WN,Botswana,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,28.31,-15.41,WN,Zambia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,28.31,-15.41,WN,Zambia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,31.45,-23.82,WN,South Africa,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,35.25,-1.58,WN,Kenya,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,28.31,-15.41,WN,Zambia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,34.83,-2.33,WN,United Republic of Tanzania,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
Acinonyx jubatus,carnivores,Felidae,18.49,-22.96,WN,Namibia,Africa,2,1,1,0,Acinonyx_jubatus,89.2,46.7,NA,non_group
