"","HostCorrectedName","Group","HostFamily","Longitude","Latitude","PopulationType","HostEnvironment","country","continent","Threat","ThreatDic","ThreatDic2","ThreatDis","hostName","hostHomeRange","massKG","groupSizePriUng","groupSizeCar","type"
"1","Alces alces","ungulates","Cervidae",9.8,59.13,"WN","terrestrial","Norway","Europe",0,0,0,0,"Alces_alces",72,356.998,1,NA,"NonThreatened"
"2","Antilocapra americana","ungulates","Antilocapridae",-111.09,34.05,"WN","terrestrial","United States of America","North America",0,0,0,0,"Antilocapra_americana",8.16,46.0829,506,NA,"NonThreatened"
"3","Antilope cervicapra","ungulates","Bovidae",-100.44,29.93,"WN","terrestrial","United States of America","North America",1,0,1,0,"Antilope_cervicapra",0.63,37.5,28.75,NA,"NonThreatened"
"4","Arctictis binturong","carnivores","Viverridae",101.36,16.08,"WN","terrestrial","Thailand","Asia",0,0,0,0,"Arctictis_binturong",NA,9.875,NA,"non_group","NonThreatened"
"5","Arctocephalus australis","carnivores","Otariidae",-57.74,-37.97,"WN","marine","Argentina","South America",0,0,0,0,"Arctocephalus_australis",NA,45,NA,NA,"NonThreatened"
"6","Arctocephalus forsteri","carnivores","Otariidae",115.02,-33.64,"WN","marine","Australia","Australia",0,0,0,0,"Arctocephalus_forsteri",NA,101.25,16000,NA,"NonThreatened"
"7","Arctocephalus gazella","carnivores","Otariidae",-60.92,-55.17,"WN","marine",NA,NA,0,0,0,0,"Arctocephalus_gazella",NA,97.5,NA,NA,"NonThreatened"
"8","Arctocephalus pusillus","carnivores","Otariidae",23.4,-34.05,"WN","marine","South Africa","Africa",0,0,0,0,"Arctocephalus_pusillus",NA,178.5,NA,"non_group","NonThreatened"
"9","Arctocephalus tropicalis","carnivores","Otariidae",-10,-40.33,"WN","marine",NA,NA,0,0,0,0,"Arctocephalus_tropicalis",NA,84,NA,NA,"NonThreatened"
"10","Axis axis","ungulates","Cervidae",-99.4,30.18,"WN","terrestrial","United States of America","North America",0,0,0,0,"Axis_axis",0.68,66.1728,NA,NA,"NonThreatened"
"11","Bassariscus astutus","carnivores","Procyonidae",-99.31,19.3,"WN","terrestrial","Mexico","South America",0,0,0,0,"Bassariscus_astutus",0.74,1.1295,NA,"non_group","NonThreatened"
"12","Canis adustus","carnivores","Canidae",34.56,0.57,"WN","terrestrial","Kenya","Africa",0,0,0,0,"Canis_adustus",1.02,10.2499,NA,"non_group","NonThreatened"
"13","Canis aureus","carnivores","Canidae",21.82,39.07,"WN","terrestrial","Greece","Europe",0,0,0,0,"Canis_aureus",2.96,10.3452,NA,"non_group","NonThreatened"
"14","Canis latrans","carnivores","Canidae",-116.58,53.93,"WN","terrestrial","Canada","North America",0,0,0,0,"Canis_latrans",19,13.4063,NA,"non_group","NonThreatened"
"15","Canis mesomelas","carnivores","Canidae",28.31,-15.41,"WN","terrestrial","Zambia","Africa",0,0,0,0,"Canis_mesomelas",12,8.5,NA,"non_group","NonThreatened"
