"","order","hostSpecies","parasite","genus","species","commonName","type"
"1","Artiodactyla","Alcelaphus buselaphus","no parasite indicated","Some evidence that Sarcoptic mange may cause mortality from the published litereture.",NA,NA,NA
"2","Artiodactyla","Antidorcas marsupialis","ANTHRAX","Bacillus","anthracis","anthrax","Bacteria"
"3","Artiodactyla","Beatragus hunteri","no parasite indicated",NA,NA,NA,NA
"4","Artiodactyla","Bos frontalis","RINDERPEST","Morbillivius","Rinderpest virus","Rinderpest","Virus"
"5","Artiodactyla","Bos frontalis","FOOT AND MOUTH","Aphthovirus","Foot and Mouth Disease Virus","FMDV","Virus"
"6","Artiodactyla","Bos frontalis","ANTHRAX","Bacillus","anthracis","anthrax","Bacteria"
"7","Artiodactyla","Bos grunniens","BRUCELLOSIS","Brucella","abortus","Brucellosis","Bacteria"
"8","Artiodactyla","Bos javanicus","JEMBRANA DISEASE VIRUS","Lentivirus","Jembrana disease vius","JDV","Virus"
"9","Artiodactyla","Bos javanicus","MALIGNANT CATTARHAL FEVER (OHV 2)","Rhadinovirus","Ovineherpese virus 2","Sheep-associated malignant catarrhal fever (SA-MCF) or (OvHV-2)","Virus"
"10","Artiodactyla","Bos javanicus","BRUCELLOSIS","Brucella","abortus","Brucellosis","Bacteria"
"11","Artiodactyla","Bos sauveli","no parasite indicated",NA,NA,NA,NA
"12","Artiodactyla","Bubalus bubalis","no parasite indicated - because water buffalo are domesticated around the world - it was not possible to detect if there are a specific parasite that is negatively affected WILD water buffalo.",NA,NA,NA,NA
"13","Artiodactyla","Bubalus depressicornis","RINDERPEST","Morbillivius","Rinderpest virus","Rinderpest","Virus"
"14","Artiodactyla","Bubalus depressicornis","FOOT AND MOUTH","Aphthovirus","Foot and Mouth Disease Virus","FMDV","Virus"
"15","Artiodactyla","Bubalus mindorensis","no parasite indicated - no published references in the last 30 years",NA,NA,NA,NA
"16","Artiodactyla","Bubalus quarlesi","RINDERPEST","Morbillivius","Rinderpest virus","Rinderpest","Virus"
"17","Artiodactyla","Bubalus quarlesi","FOOT AND MOUTH","Aphthovirus","Foot and Mouth Disease Virus","FMDV","Virus"
"18","Artiodactyla","Budorcas taxicolor","no parasite indicated",NA,NA,NA,NA
"19","Artiodactyla","Connochaetes taurinus","RINDERPEST","Morbillivius","Rinderpest virus","Rinderpest","Virus"
"20","Artiodactyla","Connochaetes taurinus","FOOT ROT","Fusobacterium","necrophorum","Necrobacillosis or ""foot rot"" or ""foot abcessess'","Bacteria"
"21","Artiodactyla","Connochaetes taurinus","ANTHRAX","Bacillus","anthracis","anthrax","Bacteria"
"22","Artiodactyla","Connochaetes taurinus","FOOT AND MOUTH","Aphthovirus","Foot and Mouth Disease Virus","FMDV","Virus"
"23","Artiodactyla","Damaliscus lunatus","ANTHRAX","Bacillus","anthracis","anthrax","Bacteria"
